Company_Name, Price ,Year,year1,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Interest  Discount on Advances  Bills,Income from Investments,Interest on Balance with RBI and Other Inter-Bank funds,Others,Total Interest Earned,Other Income,Total Income,Interest Expended,Payments to and Provisions for Employees,Depreciation,Operating Expenses (excludes Employee Cost & Depreciation),Total Operating Expenses,Provision Towards Income Tax,Other Provisions and Contingencies,Total Provisions and Contingencies,Total Expenditure,Net Profit  Loss for The Year,Net Profit  Loss After EI & Prior Year Items,Total Profit  Loss available for Appropriations,Transfer To  From Statutory Reserve,Transfer To  From Capital Reserve,Transfer To  From Revenue And Other Reserves,Equity Share Dividend,Tax On Dividend,Balance Carried Over To Balance Sheet,Total Appropriations,Basic EPS (Rs.),Diluted EPS (Rs.)
Balance Sheet of Canara Bank,280.5,18-Mar,2018,733.24,733.24,6524.73,28346.86,34871.59,35604.84,524771.86,38808.51,17700.9,616886.1,22100.04,27812.29,144053.67,381702.99,8318.64,32898.47,616886.1,5849,58855,11,10,3,47468.47,12,28542.4,7,7,26782.08,293728.89,29096.44,10412.1,646.99,1096.56,41252.09,6942.85,48194.94,29088.76,5444.11,445.05,3668.78,9557.94,2338.62,11431.86,13770.48,52417.18,-4222.24,-4222.24,-6971.14,0,0,0,0,0,-7035.06,-6971.14,-70.47,-70.47
Balance Sheet of Canara Bank,363.6,17-Mar,2017,597.29,597.29,5373.15,27715.1,33088.25,33685.54,495275.24,39503.56,15055.1,583519.44,19922.5,38902.96,150265.89,342008.76,7168.32,25251.02,583519.44,6083,55717,13,10,3,34202.04,10,21648.98,6,6,27176.31,432470.42,29585.67,10711.29,768.2,322.49,41387.64,7554.4,48942.04,31515.87,4915.09,327.54,3269.65,8512.28,520,7271.97,7791.97,47820.12,1121.92,1121.92,1121.92,281,777,0,0,0,63.92,1121.92,20.63,20.63
Balance Sheet of Canara Bank,440.5,16-Mar,2016,542.99,542.99,5444.66,25615.55,31060.21,31603.2,479791.56,26873.32,14692.7,552960.78,20664.05,36069.61,142309.3,324714.82,7198.1,22004.89,552960.78,5849,54008,11,9,2,31637.83,9,20832.91,6,6,26563,287945.55,31377.25,11407.79,879.5,357.6,44022.14,4875.23,48897.36,34258.77,4445.88,169.96,2876.09,7491.93,-372.95,10332.43,9959.48,51710.19,-2812.82,-2812.82,-2812.82,0,0,0,0,0,-2812.82,-2812.82,-53.61,-53.61
Balance Sheet of Canara Bank,280.5,15-Mar,2015,475.2,475.2,5405.85,25978.18,31384.04,31859.23,473840.1,25671.57,16629.66,548000.56,21971.95,26669.14,145346.18,330035.51,6949.45,17028.32,548000.56,5682,53984,11,8,3,13039.96,4,8740.09,3,3,40481.83,256776.86,32066.12,10923.75,759.79,0.38,43750.04,4550.25,48300.29,34086.37,4274.26,427.06,2562.23,7263.55,795,3452.74,4247.74,45597.67,2702.62,2702.62,2702.62,680,122.4,387.7,540.97,110.76,0,2702.62,58.59,58.59
Balance Sheet of Canara Bank,280.5,14-Mar,2014,461.26,461.26,5498.25,23660.6,29158.85,29620.11,420722.82,27230.64,14348.29,491921.85,22153.78,22674.93,126828.26,301067.48,6641.56,12555.85,491921.85,4755,48794,11,8,3,7570.21,2,5965.46,2,2,36082.62,203237.75,28457.33,10251.08,730.82,108.39,39547.61,3932.76,43480.37,30603.17,3672.38,228.47,2180.16,6081.01,625,3733,4358,41042.17,2438.19,2438.19,2438.19,650,87.5,1107.08,507.38,86.23,0,2438.19,54.48,54.48
Balance Sheet of State Bank of India,305.5,18-Mar,2018,892.46,892.46,24847.99,193388.12,218236.1,219128.56,2706343.29,362142.07,167138.08,3454752,150397.18,41501.46,1060986.72,1934880.19,39992.25,226994.2,3454752,22414,264041,13,10,2,223427.46,11,110854.7,6,6,74027.9,1162020.69,141363.17,70337.62,2250,6548.53,220499.32,44600.69,265100,145645.6,33178.68,2919.47,23845.3,59943.45,673.54,75039.2,66058.41,271647.46,-6547.45,-6547.45,-12954.83,0,3288.88,-1165.14,0,0,-15078.57,-12954.83,-7.67,-7.67
Balance Sheet of State Bank of India,305.5,17-Mar,2017,892.46,892.46,24847.99,193388.12,218236.1,219128.56,2706343.29,362142.07,167138.08,3454752,150397.18,41501.46,1060986.72,1934880.19,39992.25,226994.2,3454752,22414,264041,13,10,2,223427.46,11,110854.7,6,6,74027.9,1162020.69,141363.17,70337.62,2250,6548.53,220499.32,44600.69,265100,145645.6,33178.68,2919.47,23845.3,59943.45,673.54,75039.2,66058.41,271647.46,-6547.45,-6547.45,-12954.83,0,3288.88,-1165.14,0,0,-15078.57,-12954.83,-7.67,-7.67
Balance Sheet of State Bank of India,303.3,16-Mar,2016,797.35,797.35,31585.65,155903.06,187488.71,188286.06,2044751.39,317693.66,155235.19,2705966.3,127997.62,43974.03,765989.63,1571078.38,42918.92,154007.72,2705966.3,17170,209567,13,10,3,112342.99,7,58277.38,4,4,65640.42,1046440.93,119510,48205.31,1753.47,6049.46,175518.24,35460.93,210979.17,113658.5,26489.28,2293.31,17690.18,46472.77,4033.29,35992.72,40363.79,200495.07,10484.1,10484.1,10484.42,3145.23,1493.39,3430.55,2108.56,306.38,0.32,10484.42,13.43,13.43
Balance Sheet of State Bank of India,305.5,15-Mar,2015,797.35,797.35,31585.65,155903.06,187488.71,188286.06,2044751.39,317693.66,155235.19,2705966.3,127997.62,43974.03,765989.63,1571078.38,42918.92,154007.72,2705966.3,17170,209567,13,10,3,112342.99,7,58277.38,4,4,65640.42,1046440.93,119510,48205.31,1753.47,6049.46,175518.24,35460.93,210979.17,113658.5,26489.28,2293.31,17690.18,46472.77,4165.83,35992.72,40363.79,200495.07,10484.1,10484.1,10484.42,3145.23,1493.39,3430.55,2108.56,306.38,0.32,10484.42,13.43,13.43
Balance Sheet of State Bank of India,305.5,14-Mar,2014,776.28,776.28,0,143498.16,143498.16,144274.44,1730722.44,323344.59,159276.08,2357617.54,129629.33,37838.33,575651.78,1463700.42,10389.28,140408.41,2357617.54,16784,207739,13,10,3,98172.8,7,55807.02,4,4,199140.17,971956.01,115666.01,42303.98,621.07,5407.24,163998.3,27845.37,191843.67,106803.49,25113.82,1700.3,14968.24,41782.37,4003.27,29483.75,33307.15,181893.01,9950.65,9950.65,9950.98,2985.2,345.27,4267.35,2018.32,334.51,0.32,9950.98,12.98,12.98
